"Date","Price","Open","High","Low","Vol.","Change %"
"11/03/2023","125.45","125.00","125.60","124.70","9.13M","0.76%"
"11/02/2023","124.50","123.15","124.50","123.15","10.20M","2.26%"
"11/01/2023","121.75","122.00","122.15","121.25","4.85M","0.50%"
"10/31/2023","121.15","122.40","122.45","121.10","11.95M","-0.70%"
"10/30/2023","122.00","122.40","122.85","121.75","9.79M","-0.25%"
"10/27/2023","122.30","122.15","122.75","122.10","4.41M","0.45%"
"10/26/2023","121.75","121.85","122.40","121.60","24.07M","-1.97%"
"10/25/2023","124.20","124.20","124.90","124.20","4.23M","0.20%"
"10/24/2023","123.95","123.80","123.95","122.70","7.67M","0.08%"
"10/23/2023","123.85","124.85","124.85","123.55","8.73M","-1.24%"
"10/20/2023","125.40","124.75","125.45","123.90","4.70M","0.44%"
"10/19/2023","124.85","124.40","125.20","124.40","8.05M","0.04%"
"10/18/2023","124.80","126.25","126.25","124.80","10.46M","-1.38%"
"10/17/2023","126.55","126.70","127.00","126.40","7.02M","0.24%"
"10/16/2023","126.25","126.30","126.30","125.70","8.16M","-0.55%"
"10/13/2023","126.95","127.00","127.40","126.50","6.63M","-0.27%"
"10/12/2023","127.30","126.50","127.35","126.30","14.90M","0.83%"
"10/11/2023","126.25","125.90","126.40","125.85","14.19M","1.73%"
"10/06/2023","124.10","123.80","124.30","123.80","5.06M","0.36%"
"10/05/2023","123.65","122.40","123.65","122.40","4.41M","1.44%"
"10/04/2023","121.90","122.10","122.20","121.35","12.32M","-1.30%"
"10/03/2023","123.50","123.95","124.15","123.45","5.46M","-0.60%"
"10/02/2023","124.25","123.60","124.50","123.60","6.75M","1.30%"
"09/28/2023","122.65","122.75","123.15","122.05","5.88M","0.41%"
"09/27/2023","122.15","121.85","122.30","121.55","7.07M","0.04%"
"09/26/2023","122.10","122.65","123.00","122.00","11.39M","-1.17%"
"09/25/2023","123.55","122.75","123.75","122.75","4.34M","0.73%"
"09/22/2023","122.65","122.45","122.80","122.05","10.34M","-0.08%"
"09/21/2023","122.75","123.80","123.85","122.65","23.19M","-1.60%"
"09/20/2023","124.75","125.05","125.20","124.50","6.50M","-0.56%"
"09/19/2023","125.45","125.85","126.05","125.35","4.36M","-0.44%"
"09/18/2023","126.00","126.60","126.60","125.85","7.56M","-1.06%"
"09/15/2023","127.35","127.00","127.35","126.75","6.11M","0.32%"
"09/14/2023","126.95","125.90","126.95","125.55","7.62M","1.40%"
"09/13/2023","125.20","125.20","125.60","124.70","3.41M","0.12%"
"09/12/2023","125.05","124.10","125.05","123.85","2.81M","1.01%"
"09/11/2023","123.80","124.45","124.50","123.40","9.43M","-0.40%"
"09/08/2023","124.30","124.10","124.50","123.85","6.20M","-0.44%"
"09/07/2023","124.85","125.30","125.50","124.70","6.41M","-0.91%"
"09/06/2023","126.00","126.60","126.70","125.85","7.63M","-0.36%"
"09/05/2023","126.45","126.55","126.60","126.05","3.94M","-0.24%"
"09/04/2023","126.75","125.90","126.80","125.60","3.71M","0.68%"
"09/01/2023","125.90","125.50","126.30","125.10","3.30M","0.16%"
"08/31/2023","125.70","126.55","126.55","125.50","4.63M","-0.71%"
"08/30/2023","126.60","126.75","127.05","126.10","5.91M","0.44%"
"08/29/2023","126.05","126.00","126.05","124.70","6.68M","0.56%"
"08/28/2023","125.35","124.85","125.70","124.75","4.49M","0.64%"
"08/25/2023","124.55","125.50","125.50","124.50","8.00M","-1.93%"
"08/24/2023","127.00","126.40","127.10","126.25","7.04M","1.72%"
"08/23/2023","124.85","124.00","125.15","124.00","6.98M","0.69%"
"08/22/2023","124.00","124.00","124.35","123.70","3.87M","0.81%"
"08/21/2023","123.00","124.20","124.45","123.00","11.06M","-0.69%"
"08/18/2023","123.85","124.20","124.80","123.70","8.33M","-0.60%"
"08/17/2023","124.60","123.60","124.65","122.90","10.20M","0.44%"
"08/16/2023","124.05","124.15","124.40","123.60","19.27M","-0.52%"
"08/15/2023","124.70","125.25","125.45","124.60","8.06M","0.16%"
"08/14/2023","124.50","125.65","125.70","124.10","24.76M","-1.43%"
"08/11/2023","126.30","127.00","127.35","126.15","8.35M","-0.08%"
"08/10/2023","126.40","126.90","127.00","126.30","12.01M","-0.63%"
"08/09/2023","127.20","126.80","127.65","126.65","3.92M","0.16%"
"08/08/2023","127.00","128.10","128.20","126.40","11.52M","-1.17%"
"08/07/2023","128.50","127.65","128.70","127.55","4.93M","0.98%"
"08/04/2023","127.25","127.25","127.50","126.90","7.59M","-0.47%"
"08/02/2023","127.85","129.40","129.45","127.45","13.21M","-1.24%"
"08/01/2023","129.45","129.00","129.55","128.85","4.68M","0.50%"
"07/31/2023","128.80","130.30","130.65","128.25","7.75M","-0.54%"
"07/28/2023","129.50","129.40","129.90","129.00","2.94M","0.00%"
"07/27/2023","129.50","129.15","129.50","129.00","4.19M","0.78%"
"07/26/2023","128.50","129.10","129.20","128.35","4.65M","-0.27%"
"07/25/2023","128.85","127.70","129.20","127.70","7.22M","1.26%"
"07/24/2023","127.25","127.00","127.65","126.60","10.28M","0.04%"
"07/21/2023","127.20","127.40","127.40","126.50","14.04M","-1.66%"
"07/20/2023","129.35","129.05","129.70","129.00","4.07M","0.47%"
"07/19/2023","128.75","130.15","130.50","128.75","14.71M","-0.85%"
"07/18/2023","129.85","131.00","131.00","129.70","11.35M","-1.63%"
"07/17/2023","132.00","132.00","132.20","131.75","15.72M","-0.19%"
"07/14/2023","132.25","131.45","132.50","131.45","15.49M","1.03%"
"07/13/2023","130.90","131.30","131.90","130.85","16.23M","1.12%"
"07/12/2023","129.45","129.30","129.45","128.85","3.62M","0.19%"
"07/11/2023","129.20","128.00","129.20","128.00","4.78M","1.37%"
"07/10/2023","127.45","128.10","128.50","127.00","8.51M","-0.20%"
"07/07/2023","127.70","127.55","128.30","127.10","8.69M","-0.16%"
"07/06/2023","127.90","129.70","129.70","127.70","18.06M","-2.22%"
"07/05/2023","130.80","131.00","131.20","130.40","5.41M","-0.15%"
"07/04/2023","131.00","130.75","131.15","130.55","5.92M","0.23%"
"07/03/2023","130.70","129.60","130.70","129.60","6.98M","1.24%"
"06/30/2023","129.10","128.80","129.10","128.30","7.50M","0.04%"
"06/29/2023","129.05","129.75","130.50","128.90","6.04M","-0.04%"
"06/28/2023","129.10","129.35","129.70","128.80","5.94M","0.16%"
"06/27/2023","128.90","129.15","129.55","128.70","7.07M","-0.66%"
"06/26/2023","129.75","130.35","130.35","129.40","7.96M","-0.61%"
"06/21/2023","130.55","130.55","131.05","130.25","26.91M","0.00%"
"06/20/2023","130.55","131.10","131.25","130.35","6.97M","-0.53%"
"06/19/2023","131.25","130.95","131.50","130.55","6.34M","-0.23%"
"06/16/2023","131.55","131.80","131.80","131.10","7.59M","-0.27%"
"06/15/2023","131.90","131.55","132.00","131.50","11.52M","0.30%"
"06/14/2023","131.50","131.40","131.60","131.00","7.07M","-0.04%"
"06/13/2023","131.55","130.20","131.95","130.20","24.67M","1.98%"
"06/12/2023","129.00","128.50","129.30","128.50","14.32M","0.94%"
"06/09/2023","127.80","127.50","128.20","127.40","5.86M","0.75%"
"06/08/2023","126.85","127.90","128.20","126.55","5.59M","-0.98%"
"06/07/2023","128.10","127.00","128.25","127.00","12.72M","1.10%"
"06/06/2023","126.70","126.35","127.25","126.15","6.88M","0.28%"
"06/05/2023","126.35","126.75","126.80","126.25","6.81M","-0.32%"
"06/02/2023","126.75","125.80","127.00","125.80","8.41M","1.28%"
"06/01/2023","125.15","125.35","125.60","124.90","4.23M","-0.79%"
"05/31/2023","126.15","126.70","126.70","125.15","9.23M","-0.47%"
"05/30/2023","126.75","126.75","127.05","126.45","12.63M","0.00%"
"05/29/2023","126.75","127.45","127.55","126.50","15.21M","0.64%"
"05/26/2023","125.95","125.00","126.05","125.00","25.08M","2.36%"
"05/25/2023","123.05","123.00","123.40","122.45","12.03M","1.19%"
"05/24/2023","121.60","121.65","121.80","121.10","11.12M","-0.49%"
"05/23/2023","122.20","122.30","122.65","121.80","12.55M","-0.08%"
"05/22/2023","122.30","122.50","122.65","122.10","18.27M","-0.16%"
"05/19/2023","122.50","122.60","122.85","122.20","34.91M","0.29%"
"05/18/2023","122.15","121.80","122.40","121.60","23.09M","1.33%"
"05/17/2023","120.55","118.65","120.70","118.65","26.76M","1.64%"
"05/16/2023","118.60","117.90","119.00","117.85","8.15M","1.19%"
"05/15/2023","117.20","116.95","117.35","116.65","4.58M","0.00%"
"05/12/2023","117.20","117.15","117.50","116.75","4.25M","-0.30%"
"05/11/2023","117.55","118.25","118.45","117.55","4.03M","-0.21%"
"05/10/2023","117.80","118.80","118.80","117.65","4.69M","-0.93%"
"05/09/2023","118.90","118.60","119.00","118.30","4.83M","0.30%"
"05/08/2023","118.55","118.50","118.90","118.35","6.29M","0.64%"
"05/05/2023","117.80","117.70","118.05","117.40","2.55M","0.26%"
"05/04/2023","117.50","117.00","117.50","116.70","3.89M","0.26%"
"05/03/2023","117.20","117.35","117.35","116.80","4.65M","-0.42%"
"05/02/2023","117.70","117.45","118.00","117.10","5.57M","0.26%"
"04/28/2023","117.40","116.85","117.55","116.85","6.02M","1.21%"
"04/27/2023","116.00","116.05","116.65","115.50","10.27M","-0.09%"
